Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,56.615501,57.068001,56.351002,56.459499,56.459499,31562000
2018-07-02,55.767502,57.149502,55.330002,57.105499,57.105499,23216000
2018-07-03,57.471001,57.495499,55.721500,55.813999,55.813999,16448000
2018-07-05,56.230000,57.207001,56.155998,57.064499,57.064499,28594000
2018-07-06,57.088501,57.810001,56.862000,57.754002,57.754002,21820000
2018-07-09,58.000000,58.396500,57.861500,58.363998,58.363998,21584000
2018-07-10,58.499500,58.674999,58.127998,58.356998,58.356998,21334000
2018-07-11,57.780998,59.021999,57.768501,58.573002,58.573002,33252000
2018-07-12,58.743000,60.099499,58.654999,60.063000,60.063000,44148000
2018-07-13,60.139999,60.521999,59.764500,60.221001,60.221001,32612000
2018-07-16,60.190498,60.435501,59.669998,59.825500,59.825500,26784000
2018-07-17,59.137001,60.938000,59.099998,60.653999,60.653999,40162000
2018-07-18,60.426498,61.079498,60.228001,60.645500,60.645500,38948000
2018-07-19,60.332500,60.824001,59.886501,59.955002,59.955002,38338000
2018-07-20,59.962002,60.538502,59.829498,59.894001,59.894001,37938000
2018-07-23,59.783001,60.755001,59.600498,60.549999,60.549999,65446000
2018-07-24,63.549999,63.750000,62.207001,62.907501,62.907501,107600000
2018-07-25,62.631001,63.911999,62.452499,63.797001,63.797001,51104000
2018-07-26,63.359001,64.370003,63.150002,64.275002,64.275002,54686000
2018-07-27,64.456001,64.571999,62.224499,62.644501,62.644501,48362000
2018-07-30,62.252499,62.644501,61.208500,61.501999,61.501999,43896000
2018-07-31,61.585499,62.060501,60.809502,61.361000,61.361000,39382000
2018-08-01,61.955502,62.294998,61.247002,61.649502,61.649502,36994000
2018-08-02,60.924999,62.220501,60.903000,62.056499,62.056499,34704000
2018-08-03,62.258999,62.326000,61.471001,61.908001,61.908001,21264000
2018-08-06,62.080502,62.123001,61.526501,61.883499,61.883499,22114000
2018-08-07,62.600498,63.304001,62.590000,62.792000,62.792000,42506000
2018-08-08,62.835999,63.585999,62.605999,63.066502,63.066502,34344000
2018-08-09,63.136501,63.598000,63.005001,63.223000,63.223000,27326000
2018-08-10,62.959000,63.060001,62.358002,62.625500,62.625500,26602000
2018-08-13,62.560001,63.298500,62.351501,62.431999,62.431999,27500000
2018-08-14,62.625000,63.029499,61.977001,62.907001,62.907001,28080000
2018-08-15,62.214001,62.598999,61.312000,61.611000,61.611000,37052000
2018-08-16,62.099499,62.185001,60.981499,61.202999,61.202999,32176000
2018-08-17,61.102001,61.347500,60.200001,60.792500,60.792500,33092000
2018-08-20,61.033001,61.295502,60.435001,61.097500,61.097500,22218000
2018-08-21,61.151001,61.638000,60.751499,60.870499,60.870499,23082000
2018-08-22,60.710999,61.326500,60.660999,61.087502,61.087502,22296000
2018-08-23,60.993999,61.758499,60.967499,61.057999,61.057999,24666000
2018-08-24,61.299999,61.869999,61.070999,61.837502,61.837502,24454000
2018-08-27,62.207001,62.893501,62.034000,62.813499,62.813499,28580000
2018-08-28,62.794998,62.827999,62.148499,62.292999,62.292999,27330000
2018-08-29,62.750000,63.358501,62.639999,63.232498,63.232498,36926000
